name,occurrences_in_calendar,category,priority,country,active
Anderson da Silva,3,Outro,Média,,true
Milton Nascimento,3,Outro,Média,,true
Tupac Shakur,3,Outro,Média,,true
Maria José Barbosa e Silva,3,Outro,Média,,true
Nelson Mandela,3,Outro,Média,,true
Wanessa,3,Outro,Média,,true
A$AP Rocky,3,Outro,Média,,true
Sérgio Loroza,3,Outro,Média,,true
Tessa Thompson,3,Outro,Média,,true
Kel Mitchell,3,Outro,Média,,true
Morgan Freeman,3,Outro,Média,,true
Kobe Bryant,2,Outro,Média,,true
Whitney Houston,2,Outro,Média,,true
Omarion,2,Outro,Média,,true
Joy Sunday,2,Outro,Média,,true
Milton Gonçalves,2,Outro,Média,,true
Soulja Boy,2,Outro,Média,,true
Nonso Anozie,2,Outro,Média,,true
Jaden Smith,2,Outro,Média,,true
Chadwick Boseman,2,Outro,Média,,true
Joey Bada$$,2,Outro,Média,,true
Will.i.am,2,Outro,Média,,true
Whoopi Goldberg,2,Outro,Média,,true
Notorious B.I.G.,2,Outro,Média,,true
Sheron Menezzes,2,Outro,Média,,true
Michael Cooper Jr.,2,Outro,Média,,true
Flo Rida,2,Outro,Média,,true
Don Cheadle,2,Outro,Média,,true
GloRilla,2,Outro,Média,,true
Projota,2,Outro,Média,,true
Queen Latifah,2,Outro,Média,,true
Ícaro Silva,2,Outro,Média,,true
Marcelo Falcão,2,Outro,Média,,true
Simone Biles,2,Outro,Média,,true
Taís Araújo,2,Outro,Média,,true
Aretha Franklin,2,Outro,Média,,true
Carlinhos Brown,2,Outro,Média,,true
Lil Baby,2,Outro,Média,,true
Eve,2,Outro,Média,,true
Omar Sy,2,Outro,Média,,true
Ray Charles,2,Outro,Média,,true
Naomi Campbell,2,Outro,Média,,true
Laurence Fishburne,2,Outro,Média,,true
Budah,2,Outro,Média,,true
Tracy Morgan,2,Outro,Média,,true
Rafael Zulu,2,Outro,Média,,true
Lauryn Noel Hill,2,Outro,Média,,true
Ronnie Coleman,1,Outro,Média,,true
Viegas,1,Outro,Média,,true
Keke Palmer,1,Outro,Média,,true
Zendaya,1,Outro,Média,,true
Jennifer Freeman,1,Outro,Média,,true
"Tyler, the Creator",1,Outro,Média,,true
Lakeith Stanfield,1,Outro,Média,,true
Martinho da Vila,1,Outro,Média,,true
Keith David,1,Outro,Média,,true
Ernie Hudson,1,Outro,Média,,true
Endrick,1,Outro,Média,,true
Jérémy Doku,1,Outro,Média,,true
John Boyega,1,Outro,Média,,true
Diana Ross,1,Outro,Média,,true
Playboi Carti,1,Outro,Média,,true
Eddy Jr,1,Outro,Média,,true
Busta Rhymes,1,Outro,Média,,true
Antonia Gentry,1,Outro,Média,,true
Eddie Murphy,1,Outro,Média,,true
Anthony Davis,1,Outro,Média,,true
Kai Cenat,1,Outro,Média,,true
Rayssa Leal,1,Outro,Média,,true
A'ja Wilson,1,Outro,Média,,true
IShowSpeed,1,Outro,Média,,true
Harriet Tubman,1,Outro,Média,,true
Anna Maria Horsford,1,Outro,Média,,true
Gil do Vigor,1,Outro,Média,,true
Dennis Keith Rodman,1,Outro,Média,,true
Kenan Stacy Thompson,1,Outro,Média,,true
Paige Hurd,1,Outro,Média,,true
Willow Smith,1,Outro,Média,,true
Paul Pogba,1,Outro,Média,,true
Muni Long,1,Outro,Média,,true
Rebeca Andrade,1,Outro,Média,,true
Gabrielle Union,1,Outro,Média,,true
Brian Joseph White,1,Outro,Média,,true
Billy Porter,1,Outro,Média,,true
Naldo Benny,1,Outro,Média,,true
Bryce James,1,Outro,Média,,true
Brent Faiyaz,1,Outro,Média,,true
Danielle Brooks,1,Outro,Média,,true
Will Smith,1,Outro,Média,,true
Ice Cube,1,Outro,Média,,true
Genevieve Nnaji,1,Outro,Média,,true
Juicy J,1,Outro,Média,,true
NBA YoungBoy,1,Outro,Média,,true
North West,1,Outro,Média,,true
Rich The Kid,1,Outro,Média,,true
Tichina Arnold,1,Outro,Média,,true
Lucy Ramos,1,Outro,Média,,true
Edi Rock,1,Outro,Média,,true
James Harden,1,Outro,Média,,true
Tequan Richmond,1,Outro,Média,,true
Savannah James,1,Outro,Média,,true
Don Toliver,1,Outro,Média,,true
Lamine Yamal,1,Outro,Média,,true
Imani Hakim,1,Outro,Média,,true
Allen Iverson,1,Outro,Média,,true
JOJO TODYNHO,1,Outro,Média,,true
Derek Luke,1,Outro,Média,,true
Boris Frederic Cecil Tay-Natey Ofuatey-Kodjoe,1,Outro,Média,,true
Sterling K Brown,1,Outro,Média,,true
Nathalie Emmanuel,1,Outro,Média,,true
Rael,1,Outro,Média,,true
Gerson Santos,1,Outro,Média,,true
Nina Simone,1,Outro,Média,,true
Ludmilla,1,Outro,Média,,true
Flayslane,1,Outro,Média,,true
Dandara Mariana Cabral,1,Outro,Média,,true
Afro B,1,Outro,Média,,true
Dwyane Wade,1,Outro,Média,,true
Ryan Destiny,1,Outro,Média,,true
Bill Russell,1,Outro,Média,,true
Jay Z,1,Outro,Média,,true
Lizzo,1,Outro,Média,,true
Rickey Thompson,1,Outro,Média,,true
Azealia Banks,1,Outro,Média,,true
Bia Ferreira,1,Outro,Média,,true
Christina Milian,1,Outro,Média,,true
Offset,1,Outro,Média,,true
Katt Williams,1,Outro,Média,,true
Jimi Hendrix,1,Outro,Média,,true
P. Diddy,1,Outro,Média,,true
Toni Garrido,1,Outro,Média,,true
Kerry Washington,1,Outro,Média,,true
Jacquees,1,Outro,Média,,true
Leslie Marian Uggams,1,Outro,Média,,true
Tony Tornado,1,Outro,Média,,true
Anthony Edwards,1,Outro,Média,,true
Denzel Washington,1,Outro,Média,,true
Lynn Whitfield,1,Outro,Média,,true
Matuê,1,Outro,Média,,true
Ama K Abebrese,1,Outro,Média,,true
Meagan Good,1,Outro,Média,,true
Karim Dulé Hill,1,Outro,Média,,true
Bronny James,1,Outro,Média,,true
A Boogie wit da Hoodie,1,Outro,Média,,true
Lil Tecca,1,Outro,Média,,true
Zozibini Tunzi,1,Outro,Média,,true
Preta Gil,1,Outro,Média,,true
Jaylen Brown,1,Outro,Média,,true
Ines Brasil,1,Outro,Média,,true
Tyler James Williams,1,Outro,Média,,true
Karyn Parsons,1,Outro,Média,,true
Camila Nunes,1,Outro,Média,,true
Marina Silva,1,Outro,Média,,true
Whitney Peak,1,Outro,Média,,true
Erik King,1,Outro,Média,,true
KondZilla,1,Outro,Média,,true
Jesse Owens,1,Outro,Média,,true
Priah Ferguson,1,Outro,Média,,true
Bokeem Woodbine,1,Outro,Média,,true
Flo Milli,1,Outro,Média,,true
Coolio,1,Outro,Média,,true
Tems,1,Outro,Média,,true
Zezé Motta,1,Outro,Média,,true
Jordyn Woods,1,Outro,Média,,true
Gary Coleman,1,Outro,Média,,true
Andre Holland,1,Outro,Média,,true
Ari Lennox,1,Outro,Média,,true
Lionel Richie,1,Outro,Média,,true
Ella Fitzgerald,1,Outro,Média,,true
Pocah,1,Outro,Média,,true
Marla Gibbs,1,Outro,Média,,true
Karol Conká,1,Outro,Média,,true
Tyler Perry,1,Outro,Média,,true
Brandy,1,Outro,Média,,true
Vinícius Júnior,1,Outro,Média,,true
Gladys Knight,1,Outro,Média,,true
Venus Williams,1,Outro,Média,,true
Larenz Tate,1,Outro,Média,,true
Gucci Mane,1,Outro,Média,,true
Kevin Hart,1,Outro,Média,,true
Usher,1,Outro,Média,,true
Shai Gilgeous-Alexander,1,Outro,Média,,true
Beyoncé,1,Outro,Média,,true
Wood Harris,1,Outro,Média,,true
KAROL CONKÁ,1,Outro,Média,,true
Maria Júlia Coutinho,1,Outro,Média,,true
Kamala Harris,1,Outro,Média,,true
